Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Avg Min Explanation Size,Avg Max Explanation Size,Avg Explanation Count,Task ID temp,Bin_Size of ontology ABox,Bin_Avg Min Explanation Size,strata,split
1hop-Person_john_william_folland-m136-hasPartner-BIN,Person_john_william_folland,43,3,Property Assertion,Binary,SELECT ?object WHERE { <m136> <hasPartner> ?object },hasPartner,true,2,2,4,1hop-Person_john_william_folland-m136-hasPartner,4.0,30.0,4.0_30.0,train
1hop-Person_john_william_folland-m136-hasPartner-MC,Person_john_william_folland,43,3,Property Assertion,Multi Choice,SELECT ?object WHERE { <m136> <hasPartner> ?object },hasPartner,"m136, m135",0,0,0,1hop-Person_john_william_folland-m136-hasPartner,4.0,,4.0_nan,train
1hop-Person_john_william_folland-m136-hasPartner-MC,Person_john_william_folland,43,3,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#m136> <http://www.example.com/genealogy.owl#hasPartner> ?object },hasPartner,john_william_folland,2,2,4,1hop-Person_john_william_folland-m136-hasPartner,4.0,30.0,4.0_30.0,train
1hop-Thing_ada_rachel_heath_1868-ada-isChildOf-BIN,Thing_ada_rachel_heath_1868,43,4,Property Assertion,Binary,SELECT ?object WHERE { <ada_rachel_heath_1868> <isChildOf> ?object },isChildOf,true,1,3,10,1hop-Thing_ada_rachel_heath_1868-ada-isChildOf,6.0,15.0,6.0_15.0,train
1hop-Thing_ada_rachel_heath_1868-ada-isChildOf-MC,Thing_ada_rachel_heath_1868,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <ada_rachel_heath_1868> <isChildOf> ?object },isChildOf,ada_rachel_heath_1868,1,3,10,1hop-Thing_ada_rachel_heath_1868-ada-isChildOf,6.0,15.0,6.0_15.0,train
1hop-Thing_ada_rachel_heath_1868-ada-isChildOf-MC,Thing_ada_rachel_heath_1868,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.example.com/genealogy.owl#isChildOf> ?object },isChildOf,"john_heath, sarah_jacobs_1834",0,0,0,1hop-Thing_ada_rachel_heath_1868-ada-isChildOf,6.0,,6.0_nan,train
1hop-Thing_ada_rachel_heath_1868-john-type-BIN,Thing_ada_rachel_heath_1868,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> rdf:type <http://www.example.com/genealogy.owl#Person> },type,true,2,2,10,1hop-Thing_ada_rachel_heath_1868-john-type,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_rachel_heath_1868-john-type-BIN,Thing_ada_rachel_heath_1868,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> rdf:type <http://www.example.com/genealogy.owl#DomainEntity> },type,true,2,7,10,1hop-Thing_ada_rachel_heath_1868-john-type,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_rachel_heath_1868-john-type-BIN,Thing_ada_rachel_heath_1868,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> rdf:type <http://www.example.com/genealogy.owl#Man> },type,true,2,3,3,1hop-Thing_ada_rachel_heath_1868-john-type,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_rachel_heath_1868-john-type-BIN,Thing_ada_rachel_heath_1868,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> rdf:type <http://www.example.com/genealogy.owl#Ancestor> },type,true,2,16,9,1hop-Thing_ada_rachel_heath_1868-john-type,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_rachel_heath_1868-john-type-MC,Thing_ada_rachel_heath_1868,43,4,Membership,Multi Choice,SELECT ?class WHERE { <http://www.example.com/genealogy.owl#john_heath> rdf:type ?class },type,"Man, Ancestor, DomainEntity, Person",0,0,0,1hop-Thing_ada_rachel_heath_1868-john-type,6.0,,6.0_nan,train
1hop-Thing_ada_steward_1871-james-hasChild-BIN,Thing_ada_steward_1871,43,4,Property Assertion,Binary,SELECT ?object WHERE { <james_steward_1830> <hasChild> ?object },hasChild,true,2,3,10,1hop-Thing_ada_steward_1871-james-hasChild,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_steward_1871-john-isBloodrelationOf-BIN,Thing_ada_steward_1871,43,4,Property Assertion,Binary,SELECT ?object WHERE { <john_tacey_steward_1873> <isBloodrelationOf> ?object },isBloodrelationOf,true,1,4,10,1hop-Thing_ada_steward_1871-john-isBloodrelationOf,6.0,15.0,6.0_15.0,train
1hop-Thing_ada_steward_1871-john-isBloodrelationOf-BIN,Thing_ada_steward_1871,43,4,Property Assertion,Binary,SELECT ?object WHERE { <john_tacey_steward_1873> <isBloodrelationOf> ?object },isBloodrelationOf,true,2,5,10,1hop-Thing_ada_steward_1871-john-isBloodrelationOf,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_steward_1871-james-hasChild-MC,Thing_ada_steward_1871,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <james_steward_1830> <hasChild> ?object },hasChild,"james_steward_1830, susannah_tacey_1834",0,0,0,1hop-Thing_ada_steward_1871-james-hasChild,6.0,,6.0_nan,train
1hop-Thing_ada_steward_1871-john-isBloodrelationOf-MC,Thing_ada_steward_1871,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#isBloodrelationOf> ?object },isBloodrelationOf,"ada_steward_1871, mary_ellen_steward_1855",0,0,0,1hop-Thing_ada_steward_1871-john-isBloodrelationOf,6.0,,6.0_nan,train
1hop-Thing_ada_steward_1871-james-hasChild-MC,Thing_ada_steward_1871,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.example.com/genealogy.owl#hasChild> ?object },hasChild,ada_steward_1871,2,3,10,1hop-Thing_ada_steward_1871-james-hasChild,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_steward_1871-susannah-type-BIN,Thing_ada_steward_1871,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> rdf:type <http://www.example.com/genealogy.owl#Person> },type,true,2,2,10,1hop-Thing_ada_steward_1871-susannah-type,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_steward_1871-susannah-type-BIN,Thing_ada_steward_1871,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> rdf:type <http://www.example.com/genealogy.owl#DomainEntity> },type,true,2,2,10,1hop-Thing_ada_steward_1871-susannah-type,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_steward_1871-susannah-type-BIN,Thing_ada_steward_1871,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> rdf:type <http://www.example.com/genealogy.owl#Woman> },type,true,2,3,3,1hop-Thing_ada_steward_1871-susannah-type,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_steward_1871-susannah-type-BIN,Thing_ada_steward_1871,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> rdf:type <http://www.example.com/genealogy.owl#Ancestor> },type,true,2,2,8,1hop-Thing_ada_steward_1871-susannah-type,6.0,30.0,6.0_30.0,train
1hop-Thing_ada_steward_1871-susannah-type-MC,Thing_ada_steward_1871,43,4,Membership,Multi Choice,SELECT ?class WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> rdf:type ?class },type,"Woman, Ancestor, DomainEntity, Person",0,0,0,1hop-Thing_ada_steward_1871-susannah-type,6.0,,6.0_nan,train
1hop-Thing_alec_john_archer_1927-clare-hasAncestor-BIN,Thing_alec_john_archer_1927,43,8,Property Assertion,Binary,SELECT ?object WHERE { <clare_archer_1957> <hasAncestor> ?object },hasAncestor,true,2,3,10,1hop-Thing_alec_john_archer_1927-clare-hasAncestor,15.0,30.0,15.0_30.0,train
1hop-Thing_alec_john_archer_1927-clare-hasAncestor-BIN,Thing_alec_john_archer_1927,43,8,Property Assertion,Binary,SELECT ?object WHERE { <clare_archer_1957> <hasAncestor> ?object },hasAncestor,true,2,4,10,1hop-Thing_alec_john_archer_1927-clare-hasAncestor,15.0,30.0,15.0_30.0,train
1hop-Thing_alec_john_archer_1927-clare-hasParent-BIN,Thing_alec_john_archer_1927,43,8,Property Assertion,Binary,SELECT ?object WHERE { <clare_archer_1957> <hasParent> ?object },hasParent,true,2,2,10,1hop-Thing_alec_john_archer_1927-clare-hasParent,15.0,30.0,15.0_30.0,train
1hop-Thing_alec_john_archer_1927-helen-isBloodrelationOf-BIN,Thing_alec_john_archer_1927,43,8,Property Assertion,Binary,SELECT ?object WHERE { <helen_archer_1955> <isBloodrelationOf> ?object },isBloodrelationOf,true,2,3,10,1hop-Thing_alec_john_archer_1927-helen-isBloodrelationOf,15.0,30.0,15.0_30.0,train
1hop-Thing_alec_john_archer_1927-clare-hasParent-MC,Thing_alec_john_archer_1927,43,8,Property Assertion,Multi Choice,SELECT ?object WHERE { <clare_archer_1957> <hasParent> ?object },hasParent,"clare_archer_1957, helen_archer_1955, anne_archer_1964, paul_archer_1950",0,0,0,1hop-Thing_alec_john_archer_1927-clare-hasParent,15.0,,15.0_nan,train
1hop-Thing_alec_john_archer_1927-clare-hasAncestor-MC,Thing_alec_john_archer_1927,43,8,Property Assertion,Multi Choice,SELECT ?object WHERE { <clare_archer_1957> <hasAncestor> ?object },hasAncestor,"clare_archer_1957, helen_archer_1955, anne_archer_1964, paul_archer_1950",0,0,0,1hop-Thing_alec_john_archer_1927-clare-hasAncestor,15.0,,15.0_nan,train
1hop-Thing_alec_john_archer_1927-helen-isBloodrelationOf-MC,Thing_alec_john_archer_1927,43,8,Property Assertion,Multi Choice,SELECT ?object WHERE { <helen_archer_1955> <isBloodrelationOf> ?object },isBloodrelationOf,"helen_archer_1955, anne_archer_1964, paul_archer_1950",0,0,0,1hop-Thing_alec_john_archer_1927-helen-isBloodrelationOf,15.0,,15.0_nan,train
1hop-Thing_alec_john_archer_1927-clare-hasAncestor-MC,Thing_alec_john_archer_1927,43,8,Property Assertion,Multi Choice,SELECT ?object WHERE { <clare_archer_1957> <hasAncestor> ?object },hasAncestor,"clare_archer_1957, helen_archer_1955, alec_john_archer_1927, anne_archer_1964, paul_archer_1950",0,0,0,1hop-Thing_alec_john_archer_1927-clare-hasAncestor,15.0,,15.0_nan,train
