SPARQL_index,SPARQL_query,generated_question,language,answer_type,task_type,model,model_version,python_version,timestamp_request,response_time_sec,response_preview,success,temperature,max_tokens,top_p,presence_penalty,frequency_penalty
0,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.example.com/genealogy.owl#isSpouseOf> <http://www.example.com/genealogy.owl#john_william_folland> },Is Ada Rachel Heath married to John William Folland?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:48.312626,1.562,Is Ada Rachel Heath married to John William Folland?,True,0.0,4096,1.0,0.0,0.0
1,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.example.com/genealogy.owl#isSpouseOf> ?object },Who is the spouse of Ada Rachel Heath?,English,Multi Choice,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:49.141493,0.727,Who is the spouse of Ada Rachel Heath?,True,0.0,4096,1.0,0.0,0.0
2,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },Is Ada Rachel Heath a person?,English,Binary,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:49.894988,0.652,Is Ada Rachel Heath a person?,True,0.0,4096,1.0,0.0,0.0
3,ASK WHERE { <http://www.example.com/genealogy.owl#m135> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },"Is the entity with the identifier ""m135"" classified as a Domain Entity?",English,Binary,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:50.975340,0.98,"Is the entity with the identifier ""m135"" classified as a Domain Entity?",True,0.0,4096,1.0,0.0,0.0
4,ASK WHERE { <http://www.example.com/genealogy.owl#m135> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Marriage> },Is the individual identified as m135 involved in a marriage?,English,Binary,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:51.666598,0.59,Is the individual identified as m135 involved in a marriage?,True,0.0,4096,1.0,0.0,0.0
5,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },Is Ada Rachel Heath a domain entity?,English,Binary,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:52.349236,0.581,Is Ada Rachel Heath a domain entity?,True,0.0,4096,1.0,0.0,0.0
6,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Woman> },Is Ada Rachel Heath a woman?,English,Binary,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:52.902618,0.452,Is Ada Rachel Heath a woman?,True,0.0,4096,1.0,0.0,0.0
7,ASK WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.example.com/genealogy.owl#hasFather> <http://www.example.com/genealogy.owl#john_heath> },Does Gwendoline Heath have John Heath as her father?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:53.641929,0.638,Does Gwendoline Heath have John Heath as her father?,True,0.0,4096,1.0,0.0,0.0
8,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#hasHusband> <http://www.example.com/genealogy.owl#john_heath> },Does Sarah Jacobs have John Heath as her husband?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:54.195622,0.453,Does Sarah Jacobs have John Heath as her husband?,True,0.0,4096,1.0,0.0,0.0
9,ASK WHERE { <http://www.example.com/genealogy.owl#lemuel_frederick_heath_1871> <http://www.example.com/genealogy.owl#hasSister> <http://www.example.com/genealogy.owl#gwendoline_heath_1878> },Does Lemuel Frederick Heath have a sister named Gwendoline Heath?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:54.774370,0.477,Does Lemuel Frederick Heath have a sister named Gwendoline Heath?,True,0.0,4096,1.0,0.0,0.0
10,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> <http://www.example.com/genealogy.owl#isParentOf> <http://www.example.com/genealogy.owl#lemuel_frederick_heath_1871> },Is John Heath a parent of Lemuel Frederick Heath?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:55.424036,0.549,Is John Heath a parent of Lemuel Frederick Heath?,True,0.0,4096,1.0,0.0,0.0
11,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> <http://www.example.com/genealogy.owl#isParentOf> <http://www.example.com/genealogy.owl#gwendoline_heath_1878> },Is John Heath a parent of Gwendoline Heath?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:56.260736,0.735,Is John Heath a parent of Gwendoline Heath?,True,0.0,4096,1.0,0.0,0.0
12,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> <http://www.example.com/genealogy.owl#isParentOf> <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> },Is John Heath a parent of Ada Rachel Heath?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:56.966879,0.605,Is John Heath a parent of Ada Rachel Heath?,True,0.0,4096,1.0,0.0,0.0
13,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isMotherOf> <http://www.example.com/genealogy.owl#lemuel_frederick_heath_1871> },Is Sarah Jacobs the mother of Lemuel Frederick Heath?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:57.601777,0.533,Is Sarah Jacobs the mother of Lemuel Frederick Heath?,True,0.0,4096,1.0,0.0,0.0
14,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isMotherOf> <http://www.example.com/genealogy.owl#gwendoline_heath_1878> },Is Sarah Jacobs the mother of Gwendoline Heath?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:58.283601,0.581,Is Sarah Jacobs the mother of Gwendoline Heath?,True,0.0,4096,1.0,0.0,0.0
15,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isMotherOf> <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> },Is Sarah Jacobs the mother of Ada Rachel Heath?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:56:59.092356,0.707,Is Sarah Jacobs the mother of Ada Rachel Heath?,True,0.0,4096,1.0,0.0,0.0
16,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isMotherOf> <http://www.example.com/genealogy.owl#william_lock_jacobs_1861> },Is Sarah Jacobs the mother of William Lock Jacobs?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:00.022620,0.828,Is Sarah Jacobs the mother of William Lock Jacobs?,True,0.0,4096,1.0,0.0,0.0
17,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#hasHusband> ?object },Who is the husband of Sarah Jacobs?,English,Multi Choice,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:00.843832,0.719,Who is the husband of Sarah Jacobs?,True,0.0,4096,1.0,0.0,0.0
18,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#john_heath> <http://www.example.com/genealogy.owl#isParentOf> ?object },Which individuals are children of John Heath?,English,Multi Choice,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:01.510764,0.567,Which individuals are children of John Heath?,True,0.0,4096,1.0,0.0,0.0
19,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.example.com/genealogy.owl#hasFather> ?object },Who is the father of Gwendoline Heath?,English,Multi Choice,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:02.429627,0.817,Who is the father of Gwendoline Heath?,True,0.0,4096,1.0,0.0,0.0
20,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isMotherOf> ?object },Who are the children of Sarah Jacobs?,English,Multi Choice,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:03.208854,0.679,Who are the children of Sarah Jacobs?,True,0.0,4096,1.0,0.0,0.0
21,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#lemuel_frederick_heath_1871> <http://www.example.com/genealogy.owl#hasSister> ?object },Who is the sister of Lemuel Frederick Heath?,English,Multi Choice,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:03.909398,0.599,Who is the sister of Lemuel Frederick Heath?,True,0.0,4096,1.0,0.0,0.0
22,ASK WHERE { <http://www.example.com/genealogy.owl#m159> <http://www.example.com/genealogy.owl#hasFemalePartner> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },Does the individual identified as m159 have a female partner named Susannah Tacey?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:04.724904,0.715,Does the individual identified as m159 have a female partner named Susannah Tacey?,True,0.0,4096,1.0,0.0,0.0
23,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },Is there a relationship between Eleanor Harsley and James Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:05.347356,0.522,Is there a relationship between Eleanor Harsley and James Steward?,True,0.0,4096,1.0,0.0,0.0
24,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#minnie_maud_steward_1909> },Is there a relationship between Eleanor Harsley and Minnie Maud Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:06.048485,0.6,Is there a relationship between Eleanor Harsley and Minnie Maud Steward?,True,0.0,4096,1.0,0.0,0.0
