Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Min Tag Length,Max Tag Length,Task ID temp,Bin_Size of ontology ABox,Bin_Min Tag Length,strata,split
1hop-family-tree_m135-m135-rdf:type-BIN,family-tree,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#m135> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Marriage> },rdf:type,TRUE,2,5,1hop-family-tree_m135-m135-rdf:type,1.0,0.0,1.0_0.0,train
1hop-family-tree_m135-m135-rdf:type-MC,family-tree,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#m135> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,DomainEntity; Marriage,2,5,1hop-family-tree_m135-m135-rdf:type,1.0,0.0,1.0_0.0,train
1hop-family-tree_m135-m135-rdf:type-BIN,family-tree,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#m135> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },rdf:type,TRUE,3,3,1hop-family-tree_m135-m135-rdf:type,1.0,1.0,1.0_1.0,train
1hop-family-tree_m135-m135-rdf:type-MC,family-tree,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#m135> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,DomainEntity; Marriage,3,3,1hop-family-tree_m135-m135-rdf:type,1.0,1.0,1.0_1.0,train
1hop-family-tree_john_william_folland-john_william_folland-isHusbandOf-BIN,family-tree,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_william_folland> <http://www.example.com/genealogy.owl#isHusbandOf> <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> },isHusbandOf,TRUE,3,3,1hop-family-tree_john_william_folland-john_william_folland-isHusbandOf,1.0,1.0,1.0_1.0,train
1hop-family-tree_john_william_folland-john_william_folland-isHusbandOf-MC,family-tree,173,5,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#john_william_folland> <http://www.example.com/genealogy.owl#isHusbandOf> ?x },isHusbandOf,ada_rachel_heath_1868; gwendoline_heath_1878,3,3,1hop-family-tree_john_william_folland-john_william_folland-isHusbandOf,1.0,1.0,1.0_1.0,train
1hop-family-tree_m136-m136-hasMalePartner-BIN,family-tree,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#m136> <http://www.example.com/genealogy.owl#hasMalePartner> <http://www.example.com/genealogy.owl#john_william_folland> },hasMalePartner,TRUE,1,3,1hop-family-tree_m136-m136-hasMalePartner,1.0,,1.0_nan,train
1hop-family-tree_john_william_folland-john_william_folland-isHusbandOf-BIN,family-tree,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_william_folland> <http://www.example.com/genealogy.owl#isHusbandOf> <http://www.example.com/genealogy.owl#gwendoline_heath_1878> },isHusbandOf,TRUE,3,3,1hop-family-tree_john_william_folland-john_william_folland-isHusbandOf,1.0,1.0,1.0_1.0,train
1hop-family-tree_sarah_jacobs_1834-sarah_jacobs_1834-isBloodrelationOf-BIN,family-tree,173,13,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isBloodrelationOf> <http://www.example.com/genealogy.owl#sarah_jacobs_1834> },isBloodrelationOf,TRUE,3,3,1hop-family-tree_sarah_jacobs_1834-sarah_jacobs_1834-isBloodrelationOf,9.0,1.0,9.0_1.0,train
1hop-family-tree_sarah_jacobs_1834-sarah_jacobs_1834-isBloodrelationOf-MC,family-tree,173,13,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isBloodrelationOf> ?x },isBloodrelationOf,henry_jacobs_1849; sarah_jacobs_1834,3,3,1hop-family-tree_sarah_jacobs_1834-sarah_jacobs_1834-isBloodrelationOf,9.0,1.0,9.0_1.0,train
1hop-family-tree_sarah_jacobs_1834-sarah_jacobs_1834-hasFather-BIN,family-tree,173,13,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#hasFather> <http://www.example.com/genealogy.owl#james_jacobs_1806> },hasFather,TRUE,3,3,1hop-family-tree_sarah_jacobs_1834-sarah_jacobs_1834-hasFather,9.0,1.0,9.0_1.0,train
1hop-family-tree_john_heath-john_heath-isMalePartnerIn-BIN,family-tree,173,13,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> <http://www.example.com/genealogy.owl#isMalePartnerIn> <http://www.example.com/genealogy.owl#m100> },isMalePartnerIn,TRUE,3,3,1hop-family-tree_john_heath-john_heath-isMalePartnerIn,9.0,1.0,9.0_1.0,train
1hop-family-tree_sarah_jacobs_1834-sarah_jacobs_1834-isBloodrelationOf-BIN,family-tree,173,13,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isBloodrelationOf> <http://www.example.com/genealogy.owl#henry_jacobs_1849> },isBloodrelationOf,TRUE,3,3,1hop-family-tree_sarah_jacobs_1834-sarah_jacobs_1834-isBloodrelationOf,9.0,1.0,9.0_1.0,train
1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.example.com/genealogy.owl#isAncestorOf> <http://www.example.com/genealogy.owl#george_steward_1856> },isAncestorOf,TRUE,3,3,1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf,25.0,1.0,25.0_1.0,train
